Cumulative Score,Actor Score Index,University,Theater,Sports,Birth City
3.327946439069214,10.0,Fordham University (BA)American Conservatory Theater,Yes,Basketball,"Mount Vernon, New York, U.S."
3.302119693865376,9.912689621699542,Harvard University (dropped out),Yes,,"Cambridge, Massachusetts, U.S."
3.2514974769539715,9.741555207585074,Chabot College,Yes,,"Concord, California, U.S."
3.1549188030537656,9.41505953469129,,,,"New York City, U.S."
3.139299015308309,9.362254987844016,,,Football,"Syracuse, New York, U.S."
2.969386552995476,8.787845737068936,Santa Monica College,,,"Denver, Colorado, U.S."
2.8695910976440584,8.450475352584569,,,,"Chicago, Illinois, U.S."
2.789821128719611,8.18080350238278,,Yes,,"Vernal, Utah, U.S."
2.7878114341250946,8.174009491216033,,,,"Santa Ana, California, U.S."
2.7825889899430445,8.156354398652528,University of Colorado Boulder (BA),Yes,,"Conifer, Colorado, U.S."
2.7747503172260193,8.129854834929136,Morehouse College  (BA),Yes,,"Washington, D.C., U.S."
2.754980651314714,8.063021132270652,Illinois Wesleyan University,,,"DeKalb, Illinois, U.S."
2.7377435936479517,8.004749212452891,American Academy of Dramatic Arts,Yes,,"Neptune, New Jersey, U.S."
2.726521599262333,7.966811928162483,,,,"Point Pleasant, New Jersey, U.S."
2.7262062881179885,7.965745981405437,,,,"Andrews, South Carolina"
2.723942048309256,7.958091449922545,,,,"New York City, U.S."
2.7113964684962513,7.915679627959426,Northern Kentucky University,,Basketball,"Lexington, Kentucky, U.S."
2.68487685265202,7.8260269182018485,,,,"Newmarket, Ontario, Canada"
2.6703303004555163,7.776850571541823,"California State University, Fullerton (BA)",,Baseball,"Lynwood, California, U.S."
2.6676913193689438,7.767929182680088,"State University of New York, Purchase (BFA)",,Soccer,"Peekskill, New York, U.S."
2.659125937668758,7.7389728929645765,,,,
2.6571756586206723,7.732379743106324,The New SchoolBard CollegeUniversity of Colorado Boulder,,,"Los Angeles, California, U.S."
2.653017575306284,7.718322848816365,,Yes,,"Honolulu, Hawaii, US"
2.645397290738428,7.692561572158175,"Santa Monica College
UCLA Extension
University of Wisconsin–Superior (BBA)[1][2]",Yes,Soccer,
2.639190820519836,7.671579862755038,,,,"Boston, Massachusetts, U.S."
2.6365385875379856,7.662613674288058,Tufts University (BA)American Academy of Dramatic Arts,Yes,,"New York City, U.S."
2.6037919245349204,7.55190969233797,University of Miami (BFA),,,"New York City, U.S."
2.5935153961152126,7.517168667990591,Denison University (BA),,,"Concord, Massachusetts, U.S."
2.5901077050109476,7.505648563653159,Manasquan High School,Yes,,"Neptune City, New Jersey, U.S."
2.5822185491871315,7.47897833579393,Juilliard School (BFA),,,"Los Angeles, California, U.S."
2.5580142030534923,7.397152670160724,"University of California, Los Angeles (BA)",Yes,,"Los Angeles, California, U.S."
2.556025298026177,7.390428940594029,University of Technology Sydney (BA)Edith Cowan University (GrDip),Yes,,"Sydney, New South Wales, Australia"
2.546053389670988,7.356717720539104,State University of New York at Purchase (BFA),,,"Orlando, Florida, U.S."
2.540673936356358,7.338531839962864,Cuyahoga Community College,,,"Cleveland, Ohio, U.S."
2.539105182831012,7.33322848242876,,,,
2.534324654779104,7.317067339807274,Yale University (BA),Yes,,"Boston, Massachusetts, U.S."
2.520131310551638,7.269085054619262,Guildhall School of Music and Drama,Yes,,"Perth, Scotland"
2.4996216701501153,7.199749780347181,Sacred Heart University,,,"Bridgeport, Connecticut, U.S."
2.498680621870865,7.196568454918371,,,,"Los Angeles, California, U.S."
2.4910876390140544,7.170899474935617,University of Houston,,,"Houston, Texas, U.S."
2.4869155263410785,7.156795152733395,South Hampstead High SchoolWestminster School,,,"Islington, London, England"
2.4855821476816167,7.152287507877005,,Yes,,"New York City, U.S."
2.4799757875015915,7.13333454170402,Harvard University (AB),,,"San Saba, Texas, U.S."
2.4795893896503687,7.132028277894992,,,,Frankfurt
2.4775633862952935,7.125179133027009,,,,"Toronto, Ontario, Canada"
2.47087948929549,7.102583425710106,"University of Texas at Austin (B.A., Drama)",,,"San Antonio, Texas, U.S."
2.437968782569896,6.991324874480819,,,,
2.4371596207394193,6.988589406849584,Carnegie Mellon University (BFA),,,"Los Angeles, California, U.S."
2.4366926549562264,6.987010773581546,National Institute of Dramatic Art (BFA),,,"Ibadan, British Nigeria"
2.4324202095209477,6.972567264564901,"Santa Ana CollegeCalifornia State University, Long BeachUniversity of California, Los Angeles",Yes,,"Waco, Texas"
