,Birth State,Success Score
0,NY,563.25
1,MA,157.25
2,CA,463.5
3,CO,129.5
4,IL,265.5
5,UT,80.5
6,WA,96.0
7,NJ,134.25
8,SC,15.0
9,KY,12.5
10,HI,14.5
11,FL,22.75
12,OH,38.75
13,CT,25.0
14,TX,85.25
15,MN,36.5
16,MO,27.25
17,WI,15.0
18,IN,14.5
19,GA,35.0
20,PA,42.75
21,VA,20.25
22,MI,36.5
23,OK,31.0
24,TN,18.5
25,KS,24.5
26,DE,11.25
27,IA,9.75
28,AL,12.75
29,ME,0.25
30,LA,6.25
31,MD,15.25
32,SD,0.5
33,NM,2.5
34,OR,3.5
35,NV,3.0
36,NE,3.75
37,VT,0.75
38,AZ,7.0
39,NC,5.5
40,MS,5.0
41,AK,0.0
42,ND,1.5
43,RI,2.25
44,MT,1.5
45,ID,1.5
46,NH,1.0
