,Actor name,Gender,Height,Ethnicity,Age at First Release,Success Score,University,Theater,Sports,Birth City,Citizenship,Number of Children,Birth Year,Birth Month,QS University Rank,Ranked Uni,Usable Uni Rank,Specialised Drama School,Specialised Acting School,Specialised Dance School,Specialised Arts School,Birth Region
0,Denzel Washington,M,1.84,African Americans,26.0,10.0,Specialised Drama School,True,Basketball,Mount Vernon New York US,,4.0,1954.0,December,Not Ranked,0,3000,1,0,0,0,USA
1,Matt Damon,M,1.78,Scandinavian Americans,18.0,9.912689621699542,Harvard University,True,No Sports,Cambridge Massachusetts US,,4.0,1970.0,October,4,1,4,0,0,0,0,USA
2,Tom Hanks,M,1.83,Portuguese Americans,27.0,9.741555207585074,sub 1500 school,True,No Sports,Concord California US,"United States, Greece1",4.0,1956.0,July,Not Ranked,0,3000,0,0,0,0,USA
3,Eddie Murphy,M,1.75,African Americans,21.0,9.41505953469129,Did not go,False,No Sports,New York City US,,10.0,1961.0,April,Not Ranked,0,3000,0,0,0,0,USA
4,Tom Cruise,M,1.7,White people,18.0,9.362254987844016,Did not go,False,Football,Syracuse New York US,,3.0,1962.0,July,Not Ranked,0,3000,0,0,0,0,USA
5,Frank Welker,M,1.73,,38.0,8.787845737068936,sub 1500 school,False,No Sports,Denver Colorado US,,,1946.0,March,Not Ranked,0,3000,0,0,0,0,USA
6,Harrison Ford,M,1.85,German Americans,38.0,8.450475352584569,Did not go,False,No Sports,Chicago Illinois US,,5.0,1942.0,July,Not Ranked,0,3000,0,0,0,0,USA
7,James Woods,M,1.803,,35.0,8.18080350238278,Did not go,True,No Sports,Vernal Utah US,,,1947.0,April,Not Ranked,0,3000,0,0,0,0,USA
8,Michelle Pfeiffer,F,1.71,Swedish Americans,21.0,8.174009491216033,Did not go,False,No Sports,Santa Ana California US,,2.0,1958.0,April,Not Ranked,0,3000,0,0,0,0,USA
9,Trey Parker,M,1.85,,27.0,8.156354398652528,University of Colorado Boulder,True,No Sports,Conifer Colorado US,,1.0,1969.0,October,264,1,264,0,0,0,0,USA
10,Samuel L. Jackson,M,1.89,African Americans,39.0,8.129854834929136,sub 1500 school,True,No Sports,Washington DC US,United States Gabon,1.0,1948.0,December,Not Ranked,0,3000,0,0,0,0,USA
11,Richard Jenkins,M,1.85,,38.0,8.063021132270652,Wesleyan University,True,No Sports,DeKalb Illinois US,,2.0,1947.0,May,851,1,851,0,0,0,0,USA
12,Danny Devito,M,1.52,Italian Americans,39.0,8.004749212452891,Specialised Drama School,True,No Sports,Neptune New Jersey US,,3.0,1944.0,November,Not Ranked,0,3000,1,0,0,0,USA
13,Kirsten Dunst,F,1.7,German Americans,6.0,7.966811928162483,Did not go,False,No Sports,Point Pleasant New Jersey US,,2.0,1982.0,April,Not Ranked,0,3000,0,0,0,0,USA
14,Chris Rock,M,1.8,African Americans,22.0,7.965745981405437,Did not go,False,No Sports,Andrews South Carolina,,2.0,1965.0,February,Not Ranked,0,3000,0,0,0,0,USA
15,Robert De Niro,M,1.77,Italian Americans,37.0,7.958091449922545,Did not go,False,No Sports,New York City US,United StatesItaly,7.0,1943.0,August,Not Ranked,0,3000,0,0,0,0,USA
16,George Clooney,M,1.8,Irish Americans,34.0,7.915679627959426,University of Kentucky,False,Basketball,Lexington Kentucky US,,2.0,1961.0,May,681,1,681,0,0,0,0,USA
17,Jim Carrey,M,1.867,Canadian Americans,23.0,7.826026918201848,Did not go,False,No Sports,Newmarket Ontario Canada,"Canada, United States1",1.0,1962.0,January,Not Ranked,0,3000,0,0,0,0,Rest of World
18,Kevin Costner,M,1.85,English Americans,30.0,7.776850571541823,sub 1500 school,False,Football,Lynwood California US,,7.0,1955.0,January,Not Ranked,0,3000,0,0,0,0,USA
19,Stanley Tucci,M,1.721,Italian Americans,29.0,7.767929182680088,sub 1500 school,False,Soccer,Peekskill New York US,,5.0,1960.0,November,Not Ranked,0,3000,0,0,0,0,USA
20,Clint Eastwood,M,1.88,English Americans,50.0,7.738972892964576,Did not go,False,No Sports,San Francisco California US,,8.0,1930.0,May,Not Ranked,0,3000,0,0,0,0,USA
21,Jonah Hill,M,1.7,Jewish people,21.0,7.732379743106324,University of Colorado Boulder,False,No Sports,Los Angeles California US,,1.0,1983.0,December,264,1,264,0,0,0,0,USA
22,Nicole Kidman,F,1.791,Irish people,23.0,7.718322848816365,Did not go,True,Ballet,Honolulu Hawaii US,Australia from parentsUS by birthplace,4.0,1967.0,June,Not Ranked,0,3000,0,0,0,0,USA
23,Arnold Schwarzenegger,M,1.88,Austrians,34.0,7.692561572158175,"University of California, Los Angeles (UCLA)",True,Soccer, Austria,AustriaUnited States,5.0,1947.0,July,29,1,29,0,0,0,0,USA
24,Mark Wahlberg,M,1.7,Swedish Americans,22.0,7.671579862755038,Did not go,False,No Sports,Boston Massachusetts US,,4.0,1971.0,June,Not Ranked,0,3000,0,0,0,0,USA
25,Hank Azaria,M,1.82,American Jews,31.0,7.662613674288058,Tufts University,True,No Sports,New York City US,,1.0,1964.0,April,379,1,379,0,0,0,0,USA
26,Sylvester Stallone,M,1.77,Italian Americans,35.0,7.55190969233797,University of Miami,False,Dance,New York City US,,5.0,1946.0,July,278,1,278,0,0,0,0,USA
27,Steve Carell,M,1.75,White people,29.0,7.517168667990591,sub 1500 school,False,No Sports,Concord Massachusetts US,,2.0,1962.0,August,Not Ranked,0,3000,0,0,0,0,USA
28,Jack Nicholson,M,1.77,Italian Americans,43.0,7.505648563653159,Did not go,True,No Sports,Neptune City New Jersey US,,6.0,1937.0,April,Not Ranked,0,3000,0,0,0,0,USA
29,Val Kilmer,M,1.83,Scottish Americans,24.0,7.47897833579393,Specialised Music School,False,No Sports,Los Angeles California US,,2.0,1959.0,December,Not Ranked,0,3000,0,0,0,0,USA
30,Harry Shearer,M,1.67,Jewish people,39.0,7.397152670160724,"University of California, Los Angeles (UCLA)",True,No Sports,Los Angeles California US,,,1943.0,December,29,1,29,0,0,0,0,USA
31,Hugh Jackman,M,1.89,Australians,31.0,7.390428940594029,University of Technology Sydney,True,No Sports,Sydney New South Wales Australia,AustraliaUnited Kingdom,2.0,1968.0,October,90,1,90,0,0,0,0,USA
32,Wesley Snipes,M,1.753,African Americans,26.0,7.356717720539104,sub 1500 school,False,Martial arts,Orlando Florida US,,6.0,1962.0,July,Not Ranked,0,3000,0,0,0,0,USA
33,Halle Berry,F,1.68,White people,25.0,7.338531839962864,sub 1500 school,False,No Sports,Cleveland Ohio US,,2.0,1966.0,August,Not Ranked,0,3000,0,0,0,0,USA
34,Jean-Claude Van Damme,M,1.78,,23.0,7.33322848242876,Did not go,False,Martial arts,Berchem-Sainte-Agathe Brussels Belgium, Belgium,3.0,1960.0,October,Not Ranked,0,3000,0,0,0,0,
35,Edward Norton,M,1.83,,26.0,7.317067339807274,Yale University,True,No Sports,Boston Massachusetts US,,1.0,1969.0,August,16,1,16,0,0,0,0,USA
36,Ewan McGregor,M,1.79,Scottish people,22.0,7.269085054619262,Specialised Drama School,True,No Sports,Perth Scotland,"United Kingdom, United States",5.0,1971.0,March,Not Ranked,0,3000,1,0,0,0,United Kingdom
37,John Ratzenberger,M,1.75,,35.0,7.199749780347181,Specialised Arts School,False,No Sports,Bridgeport Connecticut US,,2.0,1947.0,April,Not Ranked,0,3000,0,0,0,1,USA
38,Jeff Bridges,M,1.85,,30.0,7.196568454918371,Did not go,False,No Sports,Los Angeles California US,,3.0,1949.0,December,Not Ranked,0,3000,0,0,0,0,USA
39,Dennis Quaid,M,1.83,Cajun,26.0,7.170899474935617,University of Houston,False,Dance,Houston Texas US,,3.0,1954.0,April,641,1,641,0,0,0,0,USA
40,Helena Bonham Carter,F,1.6,English people,19.0,7.156795152733395,Did not go,False,No Sports,Islington London England,,2.0,1966.0,May,Not Ranked,0,3000,0,0,0,0,United Kingdom
41,Scarlett Johansson,F,1.63,Ashkenazi Jews,11.0,7.152287507877005,Did not go,True,Dance,New York City US,United StatesDenmark,2.0,1984.0,November,Not Ranked,0,3000,0,0,0,0,USA
42,Tommy Lee Jones,M,1.83,,36.0,7.13333454170402,Harvard University,False,No Sports,San Saba Texas US,,2.0,1946.0,September,4,1,4,0,0,0,0,USA
43,Martin Lawrence,M,1.71,African Americans,26.0,7.132028277894992,Did not go,False,No Sports,Frankfurt,,3.0,1965.0,April,Not Ranked,0,3000,0,0,0,0,Europe
