Actor name,Actor date of birth,Actor gender,Actor height,Actor ethnicity,Actor age at movie release,Actor Score Index,Gender,University,Theater,Sports,Birth City,Date of Birth,Citizenship,Number of Children,Career Start
Denzel Washington,1954-12-28,M,1.84,African Americans,26.0,10.0,Male,Fordham University BAAmerican Conservatory Theater,Yes,Basketball,Mount Vernon New York US,1954-12-28,,4,1975
Matt Damon,1970-10-08,M,1.78,Scandinavian Americans,18.0,9.912689621699542,Male,Harvard University dropped out,Yes,,Cambridge Massachusetts US,1970-10-08,,4,1987
Tom Hanks,1956-07-09,M,1.83,Portuguese Americans,27.0,9.741555207585074,Male,Chabot College,Yes,,Concord California US,1956-07-09,"United States, Greece1",4,1977
Eddie Murphy,1961-04-03,M,1.75,African Americans,21.0,9.41505953469129,Male,,,,New York City US,1961-04-03,,10,1976
Tom Cruise,1962-07-03,M,1.7,White people,18.0,9.362254987844016,Male,,,Football,Syracuse New York US,1962-07-03,,3,1980
Frank Welker,1946-03-12,M,1.73,,38.0,8.787845737068936,Male,Santa Monica College,,,Denver Colorado US,1946-03-12,,,1967
Harrison Ford,1942-07-13,M,1.85,German Americans,38.0,8.450475352584569,Male,,,,Chicago Illinois US,1942-07-13,,5,1964
James Woods,1947-04-18,M,1.803,,35.0,8.18080350238278,,,Yes,,Vernal Utah US,1947-04-18,,,1969
Michelle Pfeiffer,1958-04-29,F,1.71,Swedish Americans,21.0,8.174009491216033,Female,,,,Santa Ana California US,1958-04-29,,2,1978
Trey Parker,1969-10-19,M,1.85,,27.0,8.156354398652528,Male,University of Colorado Boulder BA,Yes,,Conifer Colorado US,1969-10-19,,1,1992
Samuel L. Jackson,1948-12-21,M,1.89,African Americans,39.0,8.129854834929136,Male,Morehouse College BA,Yes,,Washington DC US,1948-12-21,United States Gabon,1,1972
Richard Jenkins,1947-05-04,M,1.85,,38.0,8.063021132270652,Male,Illinois Wesleyan University,Yes,,DeKalb Illinois US,1947-05-04,,2,1974
Danny Devito,1944-11-17,M,1.52,Italian Americans,39.0,8.004749212452891,Male,American Academy of Dramatic Arts,Yes,,Neptune New Jersey US,1944-11-17,,3,1969
Kirsten Dunst,1982-04-30,F,1.7,German Americans,6.0,7.966811928162483,Female,,,,Point Pleasant New Jersey US,1982-04-30,,2,1987
Chris Rock,1965-02-07,M,1.8,African Americans,22.0,7.965745981405437,Male,,,,Andrews South Carolina,1965-02-07,,2,1984
Robert De Niro,1943-08-17,M,1.77,Italian Americans,37.0,7.958091449922545,Male,,,,New York City US,1943-08-17,United StatesItaly,7,1963
George Clooney,1961-05-06,M,1.8,Irish Americans,34.0,7.915679627959426,Male,Northern Kentucky University,,Basketball,Lexington Kentucky US,1961-05-06,,2,1978
Jim Carrey,1962-01-17,M,1.867,Canadian Americans,23.0,7.826026918201848,Male,,,,Newmarket Ontario Canada,1962-01-17,"Canada, United States1",1,1977
Kevin Costner,1955-01-18,M,1.85,English Americans,30.0,7.776850571541823,Male,California State University Fullerton BA,,Football,Lynwood California US,1955-01-18,,7,1978
Stanley Tucci,1960-11-11,M,1.721,Italian Americans,29.0,7.767929182680088,Male,State University of New York Purchase BFA,,Soccer,Peekskill New York US,1960-11-11,,5,1982
Clint Eastwood,1930-05-31,M,1.88,English Americans,50.0,7.738972892964576,Male,,,,San Francisco California US,1930-05-31,,8,1963
Jonah Hill,1983-12-20,M,1.7,Jewish people,21.0,7.732379743106324,Male,The New SchoolBard CollegeUniversity of Colorado Boulder,,,Los Angeles California US,1983-12-20,,1,2004
Nicole Kidman,1967-06-20,F,1.791,Irish people,23.0,7.718322848816365,Male,,Yes,Ballet,Honolulu Hawaii US,1967-06-20,Australia from parentsUS by birthplace,4,1983
Arnold Schwarzenegger,1947-07-30,M,1.88,Austrians,34.0,7.692561572158175,Male,"Santa Monica College, UCLA Extension, University of WisconsinSuperior BBA12",Yes,Soccer, Austria,1947-07-30,AustriaUnited States,5,
Mark Wahlberg,1971-06-05,M,1.7,Swedish Americans,22.0,7.671579862755038,Male,,,,Boston Massachusetts US,1971-06-05,,4,1984
Hank Azaria,1964-04-25,M,1.82,American Jews,31.0,7.662613674288058,Male,Tufts University BAAmerican Academy of Dramatic Arts,Yes,,New York City US,1964-04-25,,1,1986
Sylvester Stallone,1946-07-06,M,1.77,Italian Americans,35.0,7.55190969233797,Male,University of Miami BFA,,Dance,New York City US,1946-07-06,,5,1968
Steve Carell,1962-08-16,M,1.75,White people,29.0,7.517168667990591,Male,Denison University BA,,,Concord Massachusetts US,1962-08-16,,2,1989
Jack Nicholson,1937-04-22,M,1.77,Italian Americans,43.0,7.505648563653159,Male,Manasquan High School,Yes,,Neptune City New Jersey US,1937-04-22,,6,1955
Val Kilmer,1959-12-31,M,1.83,Scottish Americans,24.0,7.47897833579393,Male,Juilliard School BFA,,,Los Angeles California US,1959-12-31,,2,1981
Harry Shearer,1943-12-23,M,1.67,Jewish people,39.0,7.397152670160724,Male,University of California Los Angeles BA,Yes,,Los Angeles California US,1943-12-23,,,1950
Hugh Jackman,1968-10-12,M,1.89,Australians,31.0,7.390428940594029,Male,University of Technology Sydney BAEdith Cowan University GrDip,Yes,,Sydney New South Wales Australia,1968-10-12,AustraliaUnited Kingdom,2,1994
Wesley Snipes,1962-07-31,M,1.753,African Americans,26.0,7.356717720539104,Male,State University of New York at Purchase BFA,,Martial arts,Orlando Florida US,1962-07-31,,6,1985
