Actor name,Actor date of birth,Actor gender,Actor height,Actor ethnicity,Actor age at movie release,Actor Score Index
denzel_washington,1954-12-28,M,1.84,/m/0x67,26.0,10.0
matt_damon,1970-10-08,M,1.78,/m/0cnvdq1,18.0,9.912689621699542
tom_hanks,1956-07-09,M,1.83,/m/02p4q5p,27.0,9.741555207585074
eddie_murphy,1961-04-03,M,1.75,/m/0x67,21.0,9.41505953469129
tom_cruise,1962-07-03,M,1.7,/m/02ctzb,18.0,9.362254987844016
frank_welker,1946-03-12,M,1.73,,38.0,8.787845737068936
harrison_ford,1942-07-13,M,1.85,/m/01qhm_,38.0,8.450475352584569
james_woods,1947-04-18,M,1.803,,35.0,8.18080350238278
michelle_pfeiffer,1958-04-29,F,1.71,/m/065b6q,21.0,8.174009491216033
trey_parker,1969-10-19,M,1.85,,27.0,8.156354398652528
samuel_l._jackson,1948-12-21,M,1.89,/m/0x67,39.0,8.129854834929136
richard_jenkins,1947-05-04,M,1.85,,38.0,8.063021132270652
danny_devito,1944-11-17,M,1.52,/m/0xnvg,39.0,8.004749212452891
kirsten_dunst,1982-04-30,F,1.7,/m/01qhm_,6.0,7.966811928162483
chris_rock,1965-02-07,M,1.8,/m/0x67,22.0,7.965745981405437
robert_de_niro,1943-08-17,M,1.77,/m/0xnvg,37.0,7.958091449922545
george_clooney,1961-05-06,M,1.8,/m/033tf_,34.0,7.915679627959426
jim_carrey,1962-01-17,M,1.867,/m/0g8_vp,23.0,7.8260269182018485
kevin_costner,1955-01-18,M,1.85,/m/09vc4s,30.0,7.776850571541823
stanley_tucci,1960-11-11,M,1.721,/m/0xnvg,29.0,7.767929182680088
clint_eastwood,1930-05-31,M,1.88,/m/09vc4s,50.0,7.7389728929645765
jonah_hill,1983-12-20,M,1.7,/m/041rx,21.0,7.732379743106324
nicole_kidman,1967-06-20,F,1.791,/m/03bkbh,23.0,7.718322848816365
arnold_schwarzenegger,1947-07-30,M,1.88,/m/019lrz,34.0,7.692561572158175
mark_wahlberg,1971-06-05,M,1.7,/m/065b6q,22.0,7.671579862755038
hank_azaria,1964-04-25,M,1.82,/m/048z7l,31.0,7.662613674288058
sylvester_stallone,1946-07-06,M,1.77,/m/0xnvg,35.0,7.55190969233797
steve_carell,1962-08-16,M,1.75,/m/02ctzb,29.0,7.517168667990591
jack_nicholson,1937-04-22,M,1.77,/m/0xnvg,43.0,7.505648563653159
val_kilmer,1959-12-31,M,1.83,/m/07bch9,24.0,7.47897833579393
harry_shearer,1943-12-23,M,1.67,/m/041rx,39.0,7.397152670160724
hugh_jackman,1968-10-12,M,1.89,/m/0bbz66j,31.0,7.390428940594029
wesley_snipes,1962-07-31,M,1.753,/m/0x67,26.0,7.356717720539104
halle_berry,1966-08-14,F,1.68,/m/02ctzb,25.0,7.338531839962864
jean-claude_van_damme,1960-10-18,M,1.78,/m/02p656s,23.0,7.33322848242876
edward_norton,1969-08-18,M,1.83,,26.0,7.317067339807274
ewan_mcgregor,1971-03-31,M,1.79,/m/03lmx1,22.0,7.269085054619262
john_ratzenberger,1947-04-06,M,1.75,,35.0,7.199749780347181
jeff_bridges,1949-12-04,M,1.85,,30.0,7.196568454918371
dennis_quaid,1954-04-09,M,1.83,/m/0fqz6,26.0,7.170899474935617
helena_bonham_carter,1966-05-26,F,1.6,/m/02w7gg,19.0,7.156795152733395
scarlett_johansson,1984-11-22,F,1.63,/m/013b6_,11.0,7.152287507877005
