,Freebase movie ID,Movie name,Movie release date,Movie box office revenue,Movie runtime,Movie languages,Movie countries,Movie genres,Review score,Movie votes,Movie director,Movie star,Movie budget,Movie gross,Movie company,Number of nomination,Nomination winner,Profitability,Log Profitability,Profitability score,Log Revenue,Revenue score,Oscar Multiplication Factor,Movie Success Index
0,/m/03vyhn,ghosts_of_mars,2001.0,14010832.0,98.0,"{""/m/02h40lc"": ""English Language""}",United States of America,"Thriller, Science Fiction, Horror, Adventure, Supernatural, Action, Space western",4.9,52000.0,John Carpenter,Natasha Henstridge,28000000.0,14010832.0,Screen Gems,0.0,,0.5003868571428571,-0.692373765436828,3.8329810681642535,7.146463956595479,5.681626539032741,1.0,3.8400901300151578
13,/m/016ywb,henry_v,1989.0,10161099.0,137.0,"{""/m/02h40lc"": ""English Language""}",United Kingdom,"Costume drama, War film, Epic, Period piece, Drama, Film adaptation",7.5,29000.0,Kenneth Branagh,Kenneth Branagh,9000000.0,10161099.0,Renaissance Films,0.0,,1.129011,0.12134202825557908,4.389212416364667,7.006940725474566,5.41942890341994,1.0,4.546419569539689
29,/m/014k4y,baby_boy,2001.0,29381649.0,123.0,"{""/m/02h40lc"": ""English Language""}",United States of America,"Crime Fiction, Drama, Coming of age",6.4,14000.0,John Singleton,Alexsandra Wright,16000000.0,29381649.0,Columbia Pictures,0.0,,1.8363530625,0.6077815735476565,4.721727682988689,7.468076181031295,6.286013092825821,1.0,4.618167417228063
49,/m/01mrrd,the_gods_must_be_crazy,1980.0,34331783.0,109.0,"{""/m/0x82"": ""Afrikaans Language"", ""/m/02h40lc"": ""English Language""}",South Africa,"Adventure, Action/Adventure, Indie, World cinema, Cult, Adventure Comedy, Comedy, Slapstick",7.3,54000.0,Jamie Uys,N!xau,5000000.0,30031783.0,C.A.T. Films,0.0,,6.8663566,1.9266336307680867,5.623254805297331,7.5356963714777505,6.41308765892,1.0,5.122175889980852
54,/m/0cws46,kinjite:_forbidden_subjects,1989.0,3416846.0,97.0,"{""/m/02h40lc"": ""English Language""}",United States of America,"Crime Fiction, Action/Adventure, Action, Thriller",5.5,2900.0,J. Lee Thompson,Charles Bronson,5000000.0,3416846.0,Golan-Globus Productions,0.0,,0.6833692,-0.3807200090903515,4.046018089699382,6.533625532341813,4.529956064079839,1.0,3.7212727630581814
140,/m/09kzfd,things_to_do_in_denver_when_you're_dead,1995.0,529677.0,115.0,"{""/m/02h40lc"": ""English Language""}",United States of America,"Thriller, Crime Fiction, Crime Comedy, Gangster Film, Comedy, Crime Thriller, Suspense",6.8,27000.0,Gary Fleder,Andy Garcia,7000000.0,529766.0,Miramax,0.0,,0.07566814285714285,-2.581398041233909,2.5417015724794143,5.724011935032974,3.0084978146619523,1.0,3.186055828399583
151,/m/04rjwf,c.h.u.d.,1984.0,4650000.0,96.0,"{""/m/02h40lc"": ""English Language""}",United States of America,"Monster movie, Natural horror films, Science Fiction, B-movie, Creature Film, Cult, Drama, Horror, Slasher",5.6,11000.0,Douglas Cheek,John Heard,1250000.0,4654423.0,C.H.U.D. Productions,0.0,,3.72,1.3137236682850553,5.204288211063727,6.667453046286607,4.781450080197161,1.0,4.140006721553048
174,/m/0g08ws,the_astronaut_farmer,2006.0,11130889.0,104.0,"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}",United States of America,"Science Fiction, Americana, Drama, Adventure, Indie",6.3,22000.0,Michael Polish,Billy Bob Thornton,13000000.0,11130889.0,Warner Bros.,0.0,,0.8562222307692308,-0.15522532115002197,4.200159394633294,7.046529890896773,5.4938264462964455,1.0,4.226316035460326
222,/m/08m1s2,becoming_jane,2007.0,37311672.0,112.0,"{""/m/02h40lc"": ""English Language""}","Ireland, United Kingdom","Biography, Costume drama, Period piece, Drama, Biopic [feature], Romantic drama, Romance Film, Biographical film",7.0,59000.0,Julian Jarrold,Anne Hathaway,16500000.0,37407812.0,HanWay Films,0.0,,2.2613134545454545,0.8159458190452892,4.86402242498314,7.571844722596945,6.481019085956265,1.0,4.856611623063033
238,/m/067p6m,robocop_3,1993.0,10600000.0,105.0,"{""/m/02h40lc"": ""English Language""}",United States of America,"Crime Fiction, Thriller, Science Fiction, Superhero movie, Action/Adventure, Action",4.1,47000.0,Fred Dekker,Robert John Burke,22000000.0,10696210.0,Orion Pictures,0.0,,0.4818181818181818,-0.7301884522402944,3.807132099291444,7.025305906235946,5.453941485550887,1.0,3.577100603755852
